start_time,date,nvm,close,change
2022-10-15,2022-10-15,0.50077962,19060.4,-0.0054371080012104
2022-10-16,2022-10-16,0.64028072,19251.9,0.0100470084573252
2022-10-17,2022-10-17,0.49604865,19540.6,0.0149959224803783
2022-10-18,2022-10-18,0.47721653,19320.9,-0.0112432576277082
2022-10-19,2022-10-19,0.43491796,19116.7,-0.010568865839583
2022-10-20,2022-10-20,0.46544887,19034.7,-0.0042894432616508
2022-10-21,2022-10-21,0.43318192,19150.9,0.0061046404724003
2022-10-22,2022-10-22,0.53881149,19195.1,0.0023079855254843
2022-10-23,2022-10-23,0.58531585,19560.7,0.0190465274992055
2022-10-24,2022-10-24,0.44218985,19318.1,-0.0124024191363295
2022-10-25,2022-10-25,0.56690947,20068.3,0.0388340468265513
2022-10-26,2022-10-26,0.36652216,20758.3,0.0343825834774245
2022-10-27,2022-10-27,0.4877206,20285.5,-0.0227764315960362
2022-10-28,2022-10-28,0.45210327,20582.8,0.0146557886174853
2022-10-29,2022-10-29,0.5212429,20796.7,0.0103921721048643
2022-10-30,2022-10-30,0.58138207,20615.6,-0.0087081123447471
2022-10-31,2022-10-31,0.42542461,20482.0,-0.0064805293079026
2022-11-01,2022-11-01,0.43165533,20472.1,-0.000483351235231
2022-11-02,2022-11-02,0.5155636,20140.1,-0.0162171931555629
2022-11-03,2022-11-03,0.38394246,20199.7,0.0029592703114682
2022-11-04,2022-11-04,0.455911,21137.6,0.0464313826442965
2022-11-05,2022-11-05,0.47900034,21289.9,0.0072051699341459
2022-11-06,2022-11-06,0.60166161,20900.0,-0.0183138483506264
2022-11-07,2022-11-07,0.47584126,20578.6,-0.015377990430622
2022-11-08,2022-11-08,0.32336983,18534.0,-0.0993556412972699
2022-11-09,2022-11-09,0.26658259,15905.0,-0.1418474155605913
2022-11-10,2022-11-10,0.31086146,17588.0,0.1058157812008802
2022-11-11,2022-11-11,0.34922,17058.3,-0.0301171253127132
2022-11-12,2022-11-12,0.38280442,16806.9,-0.014737693674047
2022-11-13,2022-11-13,0.39638521,16321.2,-0.0288988451171841
2022-11-14,2022-11-14,0.36011235,16605.2,0.0174006813224518
2022-11-15,2022-11-15,0.32986169,16888.3,0.0170488762556306
2022-11-16,2022-11-16,0.35531439,16650.6,-0.014074832872462
2022-11-17,2022-11-17,0.414151,16682.1,0.0018918237180642
2022-11-18,2022-11-18,0.34450389,16689.7,0.0004555781346473
2022-11-19,2022-11-19,0.26472892,16692.9,0.0001917350221993
2022-11-20,2022-11-20,0.30676636,16272.6,-0.0251783692468056
2022-11-21,2022-11-21,0.32204592,15773.0,-0.0307019161043717
2022-11-22,2022-11-22,0.36741617,16220.6,0.0283776073036201
2022-11-23,2022-11-23,0.28730058,16595.8,0.0231310802313107
2022-11-24,2022-11-24,0.32522492,16592.4,-0.0002048711119679
2022-11-25,2022-11-25,0.33281412,16516.1,-0.0045984908753406
2022-11-26,2022-11-26,0.4024315,16449.2,-0.0040505930576829
2022-11-27,2022-11-27,0.43905405,16422.6,-0.0016170999197531
2022-11-28,2022-11-28,0.35851685,16204.5,-0.0132804793394467
2022-11-29,2022-11-29,0.34507439,16433.2,0.0141133635718473
2022-11-30,2022-11-30,0.37810707,17153.3,0.0438198281527637
2022-12-01,2022-12-01,0.3087922,16970.5,-0.0106568415406947
2022-12-02,2022-12-02,0.35319614,17083.0,0.0066291505848383
2022-12-03,2022-12-03,0.37275919,16879.5,-0.0119124275595621
2022-12-04,2022-12-04,0.45953234,17099.5,0.0130335614206582
2022-12-05,2022-12-05,0.35434666,16958.3,-0.0082575513903915
2022-12-06,2022-12-06,0.37398397,17078.6,0.0070938714375849
2022-12-07,2022-12-07,0.38864224,16828.0,-0.0146733338798261
2022-12-08,2022-12-08,0.43151747,17216.0,0.0230568100784407
2022-12-09,2022-12-09,0.37516482,17122.0,-0.0054600371747212
2022-12-10,2022-12-10,0.38154563,17120.0,-0.0001168087840205
2022-12-11,2022-12-11,0.55985111,17077.3,-0.0024941588785046
2022-12-12,2022-12-12,0.40804424,17200.0,0.0071849765478149
2022-12-13,2022-12-13,0.36689784,17777.1,0.0335523255813952
2022-12-14,2022-12-14,0.4039013,17803.9,0.0015075574756289
2022-12-15,2022-12-15,0.40486682,17351.8,-0.0253933127011498
2022-12-16,2022-12-16,0.41775261,16624.1,-0.0419380121947002
2022-12-17,2022-12-17,0.34784966,16768.0,0.0086561076990634
2022-12-18,2022-12-18,0.50483176,16730.3,-0.0022483301526717
2022-12-19,2022-12-19,0.34465126,16429.2,-0.0179972863606748
2022-12-20,2022-12-20,0.36437933,16887.2,0.0278771942638715
2022-12-21,2022-12-21,0.38301833,16819.6,-0.0040030318821356
2022-12-22,2022-12-22,0.40305488,16815.5,-0.0002437632286141
2022-12-23,2022-12-23,0.41199945,16776.4,-0.0023252356456839
2022-12-24,2022-12-24,0.56725311,16828.9,0.0031293960563649
2022-12-25,2022-12-25,0.57872097,16824.4,-0.0002673971560827
2022-12-26,2022-12-26,0.54213442,16912.9,0.0052602173034401
2022-12-27,2022-12-27,0.43538014,16698.2,-0.0126944521637331
2022-12-28,2022-12-28,0.38833139,16539.0,-0.0095339617443797
2022-12-29,2022-12-29,0.36076844,16630.3,0.0055202853860572
2022-12-30,2022-12-30,0.28320753,16601.2,-0.0017498181031009
2022-12-31,2022-12-31,0.45323232,16537.6,-0.0038310483579501
2023-01-01,2023-01-01,0.62988701,16610.3,0.0043960429566562
2023-01-02,2023-01-02,0.45170563,16666.0,0.0033533409992594
2023-01-03,2023-01-03,0.33841533,16667.2,7.20028801153294e-05
2023-01-04,2023-01-04,0.38815022,16842.1,0.0104936642027453
2023-01-05,2023-01-05,0.37812536,16823.8,-0.0010865628395508
2023-01-06,2023-01-06,0.36849504,16943.8,0.007132752410276
2023-01-07,2023-01-07,0.51676689,16936.5,-0.000430836058027
2023-01-08,2023-01-08,0.56744431,17124.7,0.011112095179051
2023-01-09,2023-01-09,0.35098835,17169.7,0.0026277832604366
2023-01-10,2023-01-10,0.26013118,17428.8,0.0150905374001875
2023-01-11,2023-01-11,0.39718497,17935.7,0.0290840447994125
2023-01-12,2023-01-12,0.33923263,18838.0,0.0503074873018616
2023-01-13,2023-01-13,0.34285883,19924.2,0.0576600488374563
2023-01-14,2023-01-14,0.43140903,20962.8,0.0521275634655342
2023-01-15,2023-01-15,0.63225437,20882.7,-0.0038210544392923
2023-01-16,2023-01-16,0.44684452,21188.3,0.0146341229821813
2023-01-17,2023-01-17,0.42773131,21130.9,-0.0027090422544516
2023-01-18,2023-01-18,0.45466354,20680.0,-0.0213384190924191
2023-01-19,2023-01-19,0.47691402,21068.3,0.0187765957446808
2023-01-20,2023-01-20,0.53188076,22661.1,0.0756017334099097
2023-01-21,2023-01-21,0.55519492,22781.9,0.0053307209270512
2023-01-22,2023-01-22,0.60578371,22704.6,-0.0033930444782921
2023-01-23,2023-01-23,0.52401974,22913.1,0.0091831611215349
2023-01-24,2023-01-24,0.53731905,22627.4,-0.0124688496973346
2023-01-25,2023-01-25,0.54056521,23060.6,0.0191449304825122
2023-01-26,2023-01-26,0.56590148,23001.9,-0.002545467160438
2023-01-27,2023-01-27,0.53377521,23068.0,0.0028736756528808
2023-01-28,2023-01-28,0.62040574,23015.9,-0.0022585399687878
2023-01-29,2023-01-29,0.68253361,23740.3,0.0314738941340551
2023-01-30,2023-01-30,0.51127544,22819.9,-0.0387695184980811
2023-01-31,2023-01-31,0.51567366,23119.4,0.0131245097480707
2023-02-01,2023-02-01,0.43236254,23730.0,0.0264107200013841
2023-02-02,2023-02-02,0.47031532,23493.1,-0.0099831436999578
2023-02-03,2023-02-03,0.47614367,23424.7,-0.0029114931618219
2023-02-04,2023-02-04,0.49670477,23322.6,-0.0043586470691194
2023-02-05,2023-02-05,0.70896315,22929.2,-0.0168677591692177
2023-02-06,2023-02-06,0.55148878,22757.7,-0.0074795457320796
2023-02-07,2023-02-07,0.53196249,23234.1,0.0209335741309533
2023-02-08,2023-02-08,0.51614648,22955.9,-0.0119737799183096
2023-02-09,2023-02-09,0.3909451,21793.4,-0.0506405760610562
2023-02-10,2023-02-10,0.51843869,21618.6,-0.0080207769324659
2023-02-11,2023-02-11,0.57062573,21851.3,0.0107638792521256
2023-02-12,2023-02-12,0.57142261,21771.1,-0.0036702621811974
2023-02-13,2023-02-13,0.464038,21766.2,-0.0002250690135086
2023-02-14,2023-02-14,0.54988867,22187.4,0.0193511040052927
2023-02-15,2023-02-15,0.50456639,24332.6,0.0966855061881968
2023-02-16,2023-02-16,0.37132834,23526.6,-0.0331242859373843
2023-02-17,2023-02-17,0.44261688,24581.5,0.0448386082136815
2023-02-18,2023-02-18,0.44331264,24636.9,0.0022537273966194
2023-02-19,2023-02-19,0.56883538,24265.9,-0.0150587127438922
2023-02-20,2023-02-20,0.59115313,24849.9,0.024066694414796
2023-02-21,2023-02-21,0.4721602,24443.4,-0.016358214721186
2023-02-22,2023-02-22,0.53715625,24171.3,-0.0111318392694961
2023-02-23,2023-02-23,0.40630946,23928.8,-0.0100325592748424
2023-02-24,2023-02-24,0.4905398,23175.6,-0.0314767142522818
2023-02-25,2023-02-25,0.69336543,23146.2,-0.0012685755708589
2023-02-26,2023-02-26,0.56055032,23545.3,0.0172425711347865
2023-02-27,2023-02-27,0.49147418,23480.0,-0.0027733772769936
2023-02-28,2023-02-28,0.47624802,23129.6,-0.0149233390119251
2023-03-01,2023-03-01,0.39500893,23619.8,0.0211936220254564
2023-03-02,2023-03-02,0.50970079,23457.1,-0.0068882886391925
2023-03-03,2023-03-03,0.37319104,22342.8,-0.0475037408716336
2023-03-04,2023-03-04,0.53018369,22335.7,-0.0003177757487869
2023-03-05,2023-03-05,0.44656043,22419.4,0.0037473640852985
2023-03-06,2023-03-06,0.51306271,22397.1,-0.0009946742553326
2023-03-07,2023-03-07,0.38828825,22187.1,-0.0093762138848333
2023-03-08,2023-03-08,0.52884098,21695.4,-0.0221615262923048
2023-03-09,2023-03-09,0.44643618,20348.3,-0.0620915032679739
