start_time,date,sopr_ratio,close,change
2022-05-04,2022-05-04,1.1855137482686091,,
2022-05-05,2022-05-05,1.191060439967782,,
2022-05-06,2022-05-06,1.0272696470073528,,
2022-05-07,2022-05-07,0.8887786224323794,,
2022-05-08,2022-05-08,1.075921044801399,,
2022-05-09,2022-05-09,1.0216048406988931,,
2022-05-10,2022-05-10,0.9246329103156228,,
2022-05-11,2022-05-11,0.8555635559372585,,
2022-05-12,2022-05-12,0.7994517026312709,,
2022-05-13,2022-05-13,1.0492608064043767,,
2022-05-14,2022-05-14,2.440142143909216,,
2022-05-15,2022-05-15,0.7466779349989695,,
2022-05-16,2022-05-16,0.9384821760981248,,
2022-05-17,2022-05-17,0.7530954300986893,,
2022-05-18,2022-05-18,0.8490424816120666,,
2022-05-19,2022-05-19,0.6429221321049089,,
2022-05-20,2022-05-20,0.8649257875479114,,
2022-05-21,2022-05-21,0.6725247791172811,,
2022-05-22,2022-05-22,0.7495767116919683,,
2022-05-23,2022-05-23,0.6119407119548161,,
2022-05-24,2022-05-24,0.8424738011061768,,
2022-05-25,2022-05-25,0.8873413285728117,,
2022-05-26,2022-05-26,0.8481666726556757,,
2022-05-27,2022-05-27,1.0190024260692403,,
2022-05-28,2022-05-28,1.0555689488012818,,
2022-05-29,2022-05-29,1.0062931156384336,,
2022-05-30,2022-05-30,0.8884955696579332,,
2022-05-31,2022-05-31,1.2035900965857556,,
2022-06-01,2022-06-01,0.8581492223034209,,
2022-06-02,2022-06-02,0.5977091735874391,,
2022-06-03,2022-06-03,0.7400359163618718,,
2022-06-04,2022-06-04,0.6426013153430011,,
2022-06-05,2022-06-05,0.904656400482558,,
2022-06-06,2022-06-06,0.8612686079980909,,
2022-06-07,2022-06-07,0.6227596382453098,,
2022-06-08,2022-06-08,0.9474267079181176,,
2022-06-09,2022-06-09,0.604879605734473,,
2022-06-10,2022-06-10,0.9596343796648956,,
2022-06-11,2022-06-11,0.5677500612903756,,
2022-06-12,2022-06-12,0.8930958195853325,,
2022-06-13,2022-06-13,0.7248888408554962,,
2022-06-14,2022-06-14,0.6055030376363862,,
2022-06-15,2022-06-15,0.5009044722359905,,
2022-06-16,2022-06-16,0.6133471494391102,,
2022-06-17,2022-06-17,0.8246378952273595,,
2022-06-18,2022-06-18,0.5831602945124638,,
2022-06-19,2022-06-19,0.6218521199189946,,
2022-06-20,2022-06-20,0.6780400503717069,,
2022-06-21,2022-06-21,0.4702728479030201,,
2022-06-22,2022-06-22,0.6212103098151177,,
2022-06-23,2022-06-23,0.55373739308736,,
2022-06-24,2022-06-24,0.6926519109091627,,
2022-06-25,2022-06-25,2.055237538877594,,
2022-06-26,2022-06-26,0.7223340630137427,,
2022-06-27,2022-06-27,0.5235889697089421,,
2022-06-28,2022-06-28,0.6787119312042549,,
2022-06-29,2022-06-29,0.9816956127432326,,
2022-06-30,2022-06-30,0.5177280906130466,,
2022-07-01,2022-07-01,0.5296032900263759,,
2022-07-02,2022-07-02,0.5160891222574686,,
2022-07-03,2022-07-03,0.6290190114633021,,
2022-07-04,2022-07-04,0.6316327930588441,,
2022-07-05,2022-07-05,0.6401220241919349,,
2022-07-06,2022-07-06,0.5064191856529113,,
2022-07-07,2022-07-07,0.5566323954888772,,
2022-07-08,2022-07-08,0.7019868374860933,,
2022-07-09,2022-07-09,0.6948695042951452,,
2022-07-10,2022-07-10,0.6110073114867632,,
2022-07-11,2022-07-11,0.4386755427795431,,
2022-07-12,2022-07-12,0.658441401532511,,
2022-07-13,2022-07-13,0.6879217492697652,,
2022-07-14,2022-07-14,0.495597632688266,,
2022-07-15,2022-07-15,0.4431254612986551,,
2022-07-16,2022-07-16,0.8660568027236448,,
2022-07-17,2022-07-17,0.6097249529562957,,
2022-07-18,2022-07-18,0.6538540046050413,,
