start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,mean,std,z-score,close,change
2021-01-16 23:29:00,-1.12,-8.83185885,-0.00309995,-0.02445017,25.564600000000016,14.095783265204329,-1.8930909689759057,,
2021-01-16 23:30:00,5.06,-2.201876,0.01401662,-0.00610061,25.46126666666668,14.13216669566355,-1.4436050116028425,,
2021-01-16 23:31:00,-4.09,-11.40105635,-0.01132056,-0.03156294,25.33213333333338,14.224615298263204,-2.0683957152026293,,
2021-01-16 23:32:00,-16.57,-23.30268409,-0.04579914,-0.06442012,25.19133333333341,14.42884648630572,-2.894294659865478,,
2021-01-16 23:33:00,-11.8,-14.68350172,-0.0324597,-0.0403949,25.02800000000008,14.569110930701209,-2.527813823037968,,
2021-01-16 23:34:00,10.36,2.38342625,0.02853601,0.00656645,24.915,14.550901166223554,-1.000281689342098,,
2021-01-16 23:35:00,-9.66,-12.67467251,-0.02659913,-0.03490303,24.7701999999998,14.677974875580343,-2.3457050643465207,,
2021-01-16 23:36:00,-9.06,-16.9067244,-0.02490058,-0.0464766,24.662533333332977,14.807132904959198,-2.2774519246760216,,
2021-01-16 23:37:00,-13.81,-24.30757604,-0.03798364,-0.06687594,24.554299999999348,14.968941686955468,-2.562926678606245,,
2021-01-16 23:38:00,-5.27,-9.29798228,-0.0144978,-0.02558163,24.45776666666614,15.067589261926663,-1.972961045718398,,
2021-01-16 23:39:00,-21.48,-21.28679931,-0.05903644,-0.05850513,24.332666666666046,15.291759477421122,-2.9959055224685054,,
2021-01-16 23:40:00,-21.86,-23.02745753,-0.06003059,-0.06323861,24.19563333333276,15.519954786902971,-2.9675107927632838,,
2021-01-16 23:41:00,-27.87,-28.95133778,-0.076625,-0.07960037,24.070233333332773,15.786754776292112,-3.290114660635284,,
2021-01-16 23:42:00,-41.96,-43.19941073,-0.11547872,-0.11889377,23.870666666666125,16.236891957011096,-4.054388416265862,,
2021-01-16 23:43:00,-19.1,-18.61068813,-0.05261838,-0.05126969,23.62629999999966,16.330148370300346,-2.616406111637419,,
2021-01-16 23:44:00,-16.52,-24.99392104,-0.04555422,-0.06893732,23.47063333333276,16.489274387666022,-2.4252512507915904,,
2021-01-16 23:45:00,-15.12,-18.0395146,-0.04171121,-0.04976922,23.33626666666629,16.638776809248352,-2.311243615293349,,
2021-01-16 23:46:00,-22.62,-30.8916641,-0.06241536,-0.08525881,23.175366666666232,16.848397168755668,-2.718084468687085,,
2021-01-16 23:47:00,-21.68,-25.89835134,-0.05973067,-0.07136096,23.011633333332917,17.04435016579398,-2.6220790407735115,,
2021-01-16 23:48:00,-27.6,-24.03143741,-0.07608139,-0.06623787,22.869266666666373,17.287213075431595,-2.9194565050159973,,
2021-01-16 23:49:00,-36.13,-58.38112269,-0.09976248,-0.16130152,22.65613333333284,17.617104404745387,-3.336878296384397,,
2021-01-16 23:50:00,-16.72,-20.34761756,-0.04615538,-0.05617501,22.53013333333307,17.762986280117072,-2.209658483904114,,
2021-01-16 23:51:00,-13.83,-16.37604864,-0.03817029,-0.04520046,22.435866666666698,17.880660286745467,-2.0282174195518814,,
2021-01-16 23:52:00,-3.15,-12.39067106,-0.00870039,-0.03423213,22.322899999999983,17.934993650615255,-1.4202904386936397,,
2021-01-16 23:53:00,-5.78,-21.62685219,-0.01597202,-0.05978819,22.217599999999702,18.007042646039864,-1.5548138886735507,,
