start_time,date,nul,nup,nupl,close,change
2021-10-04,2021-10-04,0.01409935,0.58516096,0.56817413,49198.22,0.020978971637755
2021-10-05,2021-10-05,0.00905015,0.59730693,0.5859189,51455.12,0.0458736108745398
2021-10-06,2021-10-06,0.002849,0.61837189,0.61198987,55321.6,0.0751427651903249
2021-10-07,2021-10-07,0.00561424,0.60354143,0.59920707,53814.99,-0.0272336664160111
2021-10-08,2021-10-08,0.00527159,0.60450235,0.59956898,53975.0,0.0029733351246559
2021-10-09,2021-10-09,0.0035227,0.61008809,0.60641063,54960.77,0.0182634553033811
2021-10-10,2021-10-10,0.00412559,0.60650943,0.60370929,54700.0,-0.0047446569616836
2021-10-11,2021-10-11,0.00116985,0.62191676,0.62199987,57500.01,0.0511884826325412
2021-10-12,2021-10-12,0.00234164,0.61553519,0.61088164,56011.84,-0.0258812128902239
2021-10-13,2021-10-13,0.00118351,0.62067418,0.61930023,57393.65,0.0246699626364712
2021-10-14,2021-10-14,0.00126701,0.61901838,0.61799538,57378.19,-0.0002693677784911
2021-10-15,2021-10-15,0.00012558,0.64080903,0.64294363,61702.33,0.0753620844435838
2021-10-16,2021-10-16,0.00026819,0.63877514,0.63743328,60925.56,-0.0125889897512785
2021-10-17,2021-10-17,0.0001284,0.64093154,0.64084732,61571.45,0.0106012977147851
2021-10-18,2021-10-18,7.991e-05,0.64202044,0.64229029,62037.92,0.0075760762496255
2021-10-19,2021-10-19,5.5e-07,0.65218837,0.65236019,64316.7,0.0367320503330865
2021-10-20,2021-10-20,6.012e-05,0.65907114,0.65919698,66064.24,0.0271708592014205
2021-10-21,2021-10-21,0.00103533,0.6373248,0.63660736,62260.33,-0.0575789564823572
2021-10-22,2021-10-22,0.0017697,0.629067,0.62721955,60734.27,-0.0245109526403088
2021-10-23,2021-10-23,0.00123713,0.63264182,0.63060623,61325.11,0.0097282802608806
2021-10-24,2021-10-24,0.00149623,0.62939234,0.62718017,60902.82,-0.0068860863029842
2021-10-25,2021-10-25,0.00046565,0.63919689,0.63880793,63127.04,0.0365208047837521
2021-10-26,2021-10-26,0.00241038,0.62385791,0.62143287,60358.75,-0.0438526818301634
2021-10-27,2021-10-27,0.00390573,0.61597614,0.60949244,58449.36,-0.031634021579307
2021-10-28,2021-10-28,0.00167545,0.62445646,0.62245597,60622.03,0.0371718355855392
2021-10-29,2021-10-29,0.00066029,0.62977492,0.63156359,62308.22,0.0278148059377094
2021-10-30,2021-10-30,0.00083238,0.62795137,0.62904749,61895.19,-0.0066288204028296
2021-10-31,2021-10-31,0.00102969,0.62757602,0.62499001,61348.61,-0.0088307346661348
2021-11-01,2021-11-01,0.00130322,0.62401558,0.62075911,60942.87,-0.0066136787777261
2021-11-02,2021-11-02,0.00029051,0.63135397,0.63245207,63266.69,0.0381311218195008
2021-11-03,2021-11-03,0.00037291,0.62898283,0.62902155,62946.45,-0.0050617473428751
2021-11-04,2021-11-04,0.00127473,0.62131628,0.61978487,61431.86,-0.024061563440035
2021-11-05,2021-11-05,0.00160344,0.61846553,0.61604471,61006.0,-0.0069322335348466
2021-11-06,2021-11-06,0.00114504,0.61942153,0.61891352,61511.3,0.0082827918565386
2021-11-07,2021-11-07,0.00021976,0.62886429,0.62930338,63316.4,0.0293458275146192
2021-11-08,2021-11-08,5.02e-06,0.65115903,0.65051569,67606.96,0.0677638021113014
2021-11-09,2021-11-09,9.809e-05,0.64897473,0.64592005,67009.98,-0.0088301559484409
2021-11-10,2021-11-10,0.00096968,0.63403071,0.63356856,64920.13,-0.0311871455565275
2021-11-11,2021-11-11,0.00076902,0.63363667,0.63227681,64831.3,-0.0013682967055055
2021-11-12,2021-11-12,0.00093476,0.62323318,0.62357315,64156.08,-0.0104150310112554
2021-11-13,2021-11-13,0.00071037,0.62697023,0.62472374,64427.0,0.0042228265816739
2021-11-14,2021-11-14,0.00033468,0.63104653,0.63086917,65568.39,0.0177160196811896
2021-11-15,2021-11-15,0.0011487,0.62321563,0.61870933,63654.49,-0.0291893700607869
2021-11-16,2021-11-16,0.00494269,0.60720175,0.59588194,60106.03,-0.0557456355396139
2021-11-17,2021-11-17,0.00547102,0.59655634,0.59716778,60366.96,0.0043411617769464
2021-11-18,2021-11-18,0.01213534,0.58533901,0.57318293,56921.05,-0.0570827154456675
2021-11-19,2021-11-19,0.0085769,0.59073771,0.5819423,58069.51,0.0201763670909091
2021-11-20,2021-11-20,0.00531106,0.59807288,0.59315131,59716.29,0.0283587720991618
