start_time,datetime,reserve,reserve_usd,close,change
2024-06-18 05:00:00,2024-06-18 05:00:00,57928.05120269,3802602897.0848265,65575.4,0.0004348031714695
2024-06-18 06:00:00,2024-06-18 06:00:00,57904.73415354,3788387631.802272,65482.4,-0.0014182147573631
2024-06-18 07:00:00,2024-06-18 07:00:00,57908.06037182,3802119887.982064,65641.3,0.0024266062331252
2024-06-18 08:00:00,2024-06-18 08:00:00,57929.6216845,3807440619.270175,65705.6,0.0009795662182192
2024-06-18 09:00:00,2024-06-18 09:00:00,57929.25894948,3798865873.274492,65442.6,-0.0040027029659573
2024-06-18 10:00:00,2024-06-18 10:00:00,57925.85074317,3790450329.478861,65405.0,-0.0005745492996915
2024-06-18 11:00:00,2024-06-18 11:00:00,57877.09414643,3787310084.240325,65339.6,-0.0009999235532451
2024-06-18 12:00:00,2024-06-18 12:00:00,57905.32839037,3770678077.7619977,65208.8,-0.0020018488022576
2024-06-18 13:00:00,2024-06-18 13:00:00,58021.13389747,3760443499.8945255,64814.8,-0.0060421292831642
2024-06-18 14:00:00,2024-06-18 14:00:00,58011.06243312,3780916247.8192286,64602.6,-0.0032739436054728
2024-06-18 15:00:00,2024-06-18 15:00:00,58044.44018283,3751250589.9315314,64660.2,0.0008916049818428
2024-06-18 16:00:00,2024-06-18 16:00:00,58057.90703453,3743586822.015242,64670.8,0.0001639339191652
2024-06-18 17:00:00,2024-06-18 17:00:00,57660.79222929,3726739125.853342,64581.1,-0.0013870247468719
2024-06-18 18:00:00,2024-06-18 18:00:00,57729.28965235,3736799664.8581214,64655.1,0.0011458460757094
2024-06-18 19:00:00,2024-06-18 19:00:00,57737.93982385,3719356550.418877,64398.8,-0.0039641111064709
2024-06-18 20:00:00,2024-06-18 20:00:00,57758.01616658,3722106633.2015376,64915.8,0.0080280999024826
2024-06-18 21:00:00,2024-06-18 21:00:00,57838.83770856,3769918270.1512313,65195.8,0.0043132796638105
2024-06-18 22:00:00,2024-06-18 22:00:00,57817.3826929,3770707088.3381457,65260.9,0.0009985305801907
2024-06-18 23:00:00,2024-06-18 23:00:00,57812.59118226,3767939136.697576,65146.5,-0.0017529638727017
2024-06-19 00:00:00,2024-06-19 00:00:00,57851.99517832,3764809145.2276,65117.7,-0.0004420805415487
2024-06-19 01:00:00,2024-06-19 01:00:00,57843.45151652,3760880604.749681,65006.9,-0.0017015342986621
2024-06-19 02:00:00,2024-06-19 02:00:00,57825.7328627,3768142894.2434497,65307.9,0.0046302777089817
2024-06-19 03:00:00,2024-06-19 03:00:00,57816.99166102,3782504375.6496863,65380.9,0.0011177820753691
2024-06-19 04:00:00,2024-06-19 04:00:00,57816.78751546,3785620797.467104,65418.4,0.000573562003582
2024-06-19 05:00:00,2024-06-19 05:00:00,57834.6589087,3788659596.331389,65387.1,-0.0004784586599488
2024-06-19 06:00:00,2024-06-19 06:00:00,57848.6198975,3791947577.081838,65582.1,0.0029822396160712
2024-06-19 07:00:00,2024-06-19 07:00:00,57860.63533763,3781142235.0984974,65289.4,-0.0044631080736969
2024-06-19 08:00:00,2024-06-19 08:00:00,57862.97244984,3772613041.772765,65153.2,-0.0020860966711289
2024-06-19 09:00:00,2024-06-19 09:00:00,57855.86618973,3774157737.085202,65261.7,0.0016653057716273
2024-06-19 10:00:00,2024-06-19 10:00:00,57869.54094638,3776094016.18306,65489.8,0.0034951587224973
2024-06-19 11:00:00,2024-06-19 11:00:00,57824.42418604,3769985815.7361336,65179.2,-0.0047427232943145
2024-06-19 12:00:00,2024-06-19 12:00:00,57835.19450968,3770838132.293587,65156.2,-0.0003528733092765
2024-06-19 13:00:00,2024-06-19 13:00:00,57846.31404906,3764657094.6434345,65054.8,-0.0015562601870581
2024-06-19 14:00:00,2024-06-19 14:00:00,57842.20607833,3753653286.880606,64911.2,-0.0022073697867029
2024-06-19 15:00:00,2024-06-19 15:00:00,57919.90131261,3757811223.2694864,64900.9,-0.0001586783174551
2024-06-19 16:00:00,2024-06-19 16:00:00,57925.47966264,3769589205.937619,64900.1,-1.232648545712589e-05
2024-06-19 17:00:00,2024-06-19 17:00:00,57906.2720421,3766277396.253243,65057.6,0.0024268067383563
2024-06-19 18:00:00,2024-06-19 18:00:00,57910.08928328,3761089052.902984,64945.7,-0.0017200142642826
2024-06-19 19:00:00,2024-06-19 19:00:00,58014.10494419,3760382681.454838,64848.0,-0.0015043336202396
2024-06-19 20:00:00,2024-06-19 20:00:00,57993.56185302,3754703491.483978,64855.4,0.000114113002714
2024-06-19 21:00:00,2024-06-19 21:00:00,57998.4555676,3771588399.520141,64981.4,0.00194278348449
2024-06-19 22:00:00,2024-06-19 22:00:00,57962.91160218,3763902289.688546,64804.5,-0.0027223174631509
2024-06-19 23:00:00,2024-06-19 23:00:00,57948.47479989,3761536137.422054,64940.2,0.00209399038647
2024-06-20 00:00:00,2024-06-20 00:00:00,57929.39737194,3763796417.732094,65072.4,0.0020357190153403
2024-06-20 01:00:00,2024-06-20 01:00:00,57906.43852518,3774440959.525869,65151.1,0.0012094221205918
2024-06-20 02:00:00,2024-06-20 02:00:00,57909.87803197,3769381766.284485,65181.5,0.0004666076244299
2024-06-20 03:00:00,2024-06-20 03:00:00,57942.75436901,3776346610.212303,65170.1,-0.0001748962512369
2024-06-20 04:00:00,2024-06-20 04:00:00,57946.40591262,3778913331.566616,65278.2,0.0016587361381983
2024-06-20 05:00:00,2024-06-20 05:00:00,57972.10302789,3800906080.774951,65495.4,0.0033272976276919
2024-06-20 06:00:00,2024-06-20 06:00:00,57983.8517787,3796550728.3113256,65442.2,-0.0008122707854292
2024-06-20 07:00:00,2024-06-20 07:00:00,58002.07724252,3816022139.21443,65843.1,0.0061260165458987
2024-06-20 08:00:00,2024-06-20 08:00:00,57975.7447178,3807412419.978411,65666.2,-0.0026866900252268
2024-06-20 09:00:00,2024-06-20 09:00:00,58014.61675659,3809741659.708472,65695.7,0.0004492417712613
2024-06-20 10:00:00,2024-06-20 10:00:00,58017.62432895,3817203294.776598,66189.9,0.0075225623594845
2024-06-20 11:00:00,2024-06-20 11:00:00,58010.17092959,3846679478.070953,66156.3,-0.0005076303182206
2024-06-20 12:00:00,2024-06-20 12:00:00,58067.27867594,3839175795.703425,65958.7,-0.0029868659522979
2024-06-20 13:00:00,2024-06-20 13:00:00,58071.5281434,3783040729.757395,65109.4,-0.0128762392224224
2024-06-20 14:00:00,2024-06-20 14:00:00,58134.47794586,3773775164.701032,64940.0,-0.0026017748589297
2024-06-20 15:00:00,2024-06-20 15:00:00,58258.3512076,3777352974.316227,64789.9,-0.0023113643363104
2024-06-20 16:00:00,2024-06-20 16:00:00,58255.72081705,3781888584.7055726,64863.4,0.001134436077228
2024-06-20 17:00:00,2024-06-20 17:00:00,58319.78608297,3787963922.629187,64955.0,0.0014121985588173
2024-06-20 18:00:00,2024-06-20 18:00:00,58335.26053972,3798205480.090453,65099.0,0.0022169194057424
2024-06-20 19:00:00,2024-06-20 19:00:00,58418.80551047,3796873202.2597766,65042.2,-0.0008725172429684
2024-06-20 20:00:00,2024-06-20 20:00:00,58443.61815734,3800912320.421237,65091.0,0.0007502821245284
2024-06-20 21:00:00,2024-06-20 21:00:00,58475.55204132,3802711574.6993847,65012.7,-0.0012029312808222
2024-06-20 22:00:00,2024-06-20 22:00:00,58484.30468691,3800951305.810691,64957.1,-0.0008552175190386
2024-06-20 23:00:00,2024-06-20 23:00:00,58486.62025162,3794713279.697706,64853.9,-0.0015887408766708
2024-06-21 00:00:00,2024-06-21 00:00:00,58493.683133,3791295402.378933,64809.3,-0.000687699583217
2024-06-21 01:00:00,2024-06-21 01:00:00,58499.41682684,3796744313.7718377,64962.5,0.0023638582734266
2024-06-21 02:00:00,2024-06-21 02:00:00,58528.65179123,3791788352.495583,64763.9,-0.00305714835482
2024-06-21 03:00:00,2024-06-21 03:00:00,58547.77281163,3773912323.196541,64461.5,-0.0046692679100548
2024-06-21 04:00:00,2024-06-21 04:00:00,58547.26203684,3788477747.8686886,64631.9,0.0026434383314071
2024-06-21 05:00:00,2024-06-21 05:00:00,58531.15497077,3782263549.2144647,64640.1,0.0001268723339402
2024-06-21 06:00:00,2024-06-21 06:00:00,58536.26493967,3780109145.762415,64596.1,-0.0006806920162562
2024-06-21 07:00:00,2024-06-21 07:00:00,58512.84078527,3765116724.562311,64147.7,-0.0069415955452418
2024-06-21 08:00:00,2024-06-21 08:00:00,58528.47779892,3761721771.722725,63590.5,-0.0086862038701309
2024-06-21 09:00:00,2024-06-21 09:00:00,58399.00406193,3750172621.752315,64064.0,0.0074460807825067
2024-06-21 10:00:00,2024-06-21 10:00:00,58378.04597073,3728375965.387799,63859.0,-0.003199925074925
2024-06-21 11:00:00,2024-06-21 11:00:00,58352.61757092,3716923226.07792,63731.1,-0.00200285002897
2024-06-21 12:00:00,2024-06-21 12:00:00,58305.91144604,3719492205.85287,63790.7,0.0009351792139158
2024-06-21 13:00:00,2024-06-21 13:00:00,58223.06846527,3701727480.5148673,63575.0,-0.0033813706386667
2024-06-21 14:00:00,2024-06-21 14:00:00,58285.2917375,3736869101.3684382,64200.4,0.0098372001572946
2024-06-21 15:00:00,2024-06-21 15:00:00,58320.60031272,3713518581.882098,63701.7,-0.0077678643746769
2024-06-21 16:00:00,2024-06-21 16:00:00,58295.30311205,3708198747.2905126,63626.2,-0.0011852116976469
2024-06-21 17:00:00,2024-06-21 17:00:00,58310.32338028,3701293668.5172577,63641.8,0.0002451820162134
2024-06-21 18:00:00,2024-06-21 18:00:00,58314.47686535,3724304989.508052,64148.1,0.0079554632332836
2024-06-21 19:00:00,2024-06-21 19:00:00,58375.15451744,3748100501.7787967,64209.5,0.0009571600717714
2024-06-21 20:00:00,2024-06-21 20:00:00,58392.55974511,3743112055.787572,64183.3,-0.0004080393088249
2024-06-21 21:00:00,2024-06-21 21:00:00,58408.79423254,3731328973.438675,64057.0,-0.0019678015932493
2024-06-21 22:00:00,2024-06-21 22:00:00,58423.90616128,3745043764.694191,64134.8,0.0012145432973758
