shortLiquidationUsd,t,longLiquidationUsd,low,high,open,close,volume
13281493.32561,1629936000.0,7573125.98567,46280.0,49380.0,48992.65,46853.06,475183.123
6065883.16544,1630022400.0,11159009.8938,46359.97,49220.0,46854.22,49083.98,403667.012
4238270.2927,1630108800.0,3044357.35401,48395.65,49333.0,49082.13,48931.99,222793.024
3424462.68842,1630195200.0,6559116.68999,47741.31,49769.2,48931.99,48795.41,315105.499
7629228.03223,1630281600.0,5321193.97977,46876.49,48916.25,48795.42,47024.7,351830.754
8390144.61692,1630368000.0,10921444.42497,46731.03,48298.0,47024.69,47150.32,365548.209
3788248.34558,1630454400.0,11255593.3247,46550.99,49160.79,47150.32,48842.94,350108.374
4049263.04183,1630540800.0,8793753.04663,48631.2,50420.0,48842.93,49299.14,361863.055
6447615.16428,1630627200.0,9102872.50459,48333.0,51111.0,49299.14,50027.08,430326.386
4814539.01303,1630713600.0,5060021.62432,49360.0,50582.08,50027.09,49940.74,274956.842
2179675.24496,1630800000.0,7413377.29162,49462.59,51950.0,49942.2,51799.57,288984.124
