start_time,datetime,open_interest
2022-08-27 21:00:00,2022-08-27 21:00:00,1690797353.2113402
2022-08-27 22:00:00,2022-08-27 22:00:00,1688547144.02816
2022-08-27 23:00:00,2022-08-27 23:00:00,1691459645.34034
2022-08-28 00:00:00,2022-08-28 00:00:00,1695583630.5448
2022-08-28 01:00:00,2022-08-28 01:00:00,1695657602.12604
2022-08-28 02:00:00,2022-08-28 02:00:00,1701261485.66224
2022-08-28 03:00:00,2022-08-28 03:00:00,1710210020.0855598
2022-08-28 04:00:00,2022-08-28 04:00:00,1714097872.4964
2022-08-28 05:00:00,2022-08-28 05:00:00,1723461537.3770998
2022-08-28 06:00:00,2022-08-28 06:00:00,1729479860.1297
2022-08-28 07:00:00,2022-08-28 07:00:00,1740693497.23225
2022-08-28 08:00:00,2022-08-28 08:00:00,1731654309.414
2022-08-28 09:00:00,2022-08-28 09:00:00,1734754202.20545
2022-08-28 10:00:00,2022-08-28 10:00:00,1732228365.2026
2022-08-28 11:00:00,2022-08-28 11:00:00,1734044184.64604
2022-08-28 12:00:00,2022-08-28 12:00:00,1712206743.07192
2022-08-28 13:00:00,2022-08-28 13:00:00,1722492589.19794
2022-08-28 14:00:00,2022-08-28 14:00:00,1710147659.82568
2022-08-28 15:00:00,2022-08-28 15:00:00,1722968707.30605
2022-08-28 16:00:00,2022-08-28 16:00:00,1714391224.36834
2022-08-28 17:00:00,2022-08-28 17:00:00,1719236306.57935
2022-08-28 18:00:00,2022-08-28 18:00:00,1729832007.68864
2022-08-28 19:00:00,2022-08-28 19:00:00,1723083030.63568
2022-08-28 20:00:00,2022-08-28 20:00:00,1723951025.59514
2022-08-28 21:00:00,2022-08-28 21:00:00,1712809601.74992
2022-08-28 22:00:00,2022-08-28 22:00:00,1711805107.50435
2022-08-28 23:00:00,2022-08-28 23:00:00,1688277003.8946
2022-08-29 00:00:00,2022-08-29 00:00:00,1686473682.8735
2022-08-29 01:00:00,2022-08-29 01:00:00,1713835859.39984
2022-08-29 02:00:00,2022-08-29 02:00:00,1734670994.47744
2022-08-29 03:00:00,2022-08-29 03:00:00,1728500165.03136
