sell,buy,time,close,high,open,low,volume
99891.677,98711.081,1697932800,29981.5,30229.7,29895.4,29606.6,198602.758
473370.681,514370.859,1698019200,33074.0,35981.9,29981.4,29869.4,987741.536
458700.838,463292.221,1698105600,33917.0,35300.0,33074.0,32833.5,921993.063
231695.296,233671.848,1698192000,34487.7,35154.3,33917.0,33660.6,465367.144
174160.425,165390.763,1698278400,34154.0,34828.7,34487.8,33750.0,339552.964
144124.462,133928.514,1698364800,33893.1,34253.3,34154.0,33350.0,278052.978
68753.446,69558.733,1698451200,34086.6,34535.8,33893.2,33867.4,138314.932
86945.53,88952.02,1698537600,34528.6,34773.8,34086.7,33933.0,175897.55
144321.211,137520.137,1698624000,34483.8,34888.2,34528.6,34050.0,281841.348
134713.383,137104.528,1698710400,34651.4,34744.7,34483.8,34016.8,272450.567
233781.116,235433.671,1698796800,35437.4,35734.0,34651.4,34076.0,469214.787
214516.859,195704.868,1698883200,34940.1,35999.9,35437.5,34300.0,410221.727
156846.271,149201.899,1698969600,34700.4,34944.9,34940.1,34123.0,306048.199
67273.224,73473.65,1699056000,35069.7,35270.0,34700.5,34571.6,140746.874
117156.657,114206.6,1699142400,35025.5,35455.2,35069.7,34356.0,231363.339
101484.174,100743.041,1699228800,35057.4,35299.9,35025.5,34743.2,202227.215
172148.132,171377.818,1699315200,35406.5,35921.7,35057.5,34520.3,343525.95
166920.708,167847.012,1699401600,35626.7,36150.0,35406.5,35073.0,334779.449
381273.639,397604.298,1699488000,36719.5,38499.9,35626.7,35304.0,778877.937
153447.607,145926.285,1699574400,37330.4,37570.0,36719.6,36350.0,299373.892
81515.015,77724.269,1699660800,37162.1,37422.2,37330.3,36588.0,159239.284
59689.829,59200.216,1699747200,37085.5,37258.4,37162.1,36753.6,118890.045
132141.951,124933.697,1699833600,36486.2,37464.8,37085.6,36350.0,257075.648
209143.056,188122.019,1699920000,35559.0,36779.9,36486.2,34446.3,397265.8
205566.397,218045.019,1700006400,37885.6,38000.0,35559.1,35388.0,423818.57
224880.527,209563.839,1700092800,36176.0,37956.5,37885.5,35486.1,434444.366
161142.374,158800.677,1700179200,36621.9,37020.5,36176.0,35868.3,319943.051
61775.919,59945.203,1700265600,36580.9,36900.0,36621.9,36196.0,121720.922
73609.692,81098.8,1700352000,37375.9,37528.2,36580.9,36380.0,154713.007
158957.369,151546.418,1700438400,37462.5,37784.7,37375.8,36600.0,310504.037
235964.862,214766.334,1700524800,35737.0,37675.0,37462.6,35720.0,450731.16
164268.538,173920.996,1700611200,37413.4,37880.0,35737.0,35610.7,338189.618
93277.367,92092.564,1700697600,37294.3,37650.0,37413.5,36856.3,185369.931
174637.127,176394.591,1700784000,37706.3,38425.0,37294.4,37257.3,351031.723
41784.917,40804.412,1700870400,37766.6,37886.5,37706.3,37570.9,82589.329
90104.617,83650.862,1700956800,37437.9,37807.6,37766.7,37126.0,173758.644
136607.046,129505.027,1701043200,37234.3,37560.0,37437.9,36700.0,266112.699
