o,h,l,t,c,open,close,high,volume,low
0.124586,0.157305,0.055563,1609632000,0.157305,32198.41,33054.53,34832.25,487486.989,32000.02
0.164252,0.273325,0.03933,1609718400,0.074112,33053.93,32031.07,33653.56,506128.023,27800.0
0.088095,0.124365,0.036015,1609804800,0.124365,32029.55,33999.52,34500.0,433720.833,29900.0
0.127246,0.210008,0.081694,1609891200,0.098782,33999.51,36823.68,37037.51,444019.83,33356.46
0.100145,0.213726,0.098422,1609977600,0.213726,36825.77,39498.92,40565.62,520147.908,36337.36
0.213859,0.213859,0.066244,1610064000,0.066244,39498.32,40637.23,42125.51,518080.826,36539.77
0.063038,0.166648,0.063038,1610150400,0.166648,40638.91,40136.04,41539.88,260882.805,38733.28
0.146054,0.18201,0.052996,1610236800,0.088241,40136.05,38221.67,41412.12,436759.048,35268.0
0.086563,0.094212,0.046863,1610323200,0.046863,38200.01,35408.46,38322.18,906275.651,30448.0
0.033892,0.064319,0.025522,1610409600,0.027881,35406.92,34056.9,36693.44,449065.693,32600.0
0.014963,0.08755,0.01,1610496000,0.08755,34065.53,37421.07,37880.0,398188.088,32420.0
0.078311,0.104044,0.036137,1610582400,0.057227,37416.34,39163.31,40189.39,353142.386,36764.33
0.055903,0.11791,0.020566,1610668800,0.020566,39163.31,36755.24,39790.0,437610.113,34478.0
0.01,0.070749,0.01,1610755200,0.04058,36755.25,36025.66,38000.0,301102.477,35366.0
0.033223,0.051186,0.01,1610841600,0.051186,36025.65,35869.83,36898.0,287686.129,33863.5
0.055285,0.112058,0.046657,1610928000,0.056447,35875.72,36686.86,37547.94,253386.703,34808.47
0.061452,0.214907,0.061452,1611014400,0.093061,36690.0,35891.03,37961.0,257889.419,35850.0
0.088658,0.088803,0.01,1611100800,0.036559,35891.74,35500.0,36461.44,329192.419,33403.0
0.042018,0.060064,0.01261,1611187200,0.01261,35499.23,30879.97,35636.17,550562.277,30069.9
0.01,0.012979,0.01,1611273600,0.01,30875.77,32986.34,33831.52,453568.538,28880.0
0.01,0.01304,0.01,1611360000,0.01,32990.08,32086.48,33495.0,256776.411,31405.0
0.01,0.066693,0.01,1611446400,0.01,32086.48,32275.63,33125.75,212107.044,30914.2
0.01,0.077051,0.01,1611532800,0.039003,32274.88,32253.68,34880.0,316687.524,31921.47
0.013916,0.013916,0.01,1611619200,0.01,32253.68,32474.14,32950.0,346861.707,30810.0
0.01,0.01,0.01,1611705600,0.01,32474.81,30381.04,32562.2,431022.839,29240.0
0.01,0.033577,0.01,1611792000,0.01,30382.96,33399.75,33778.95,311528.373,29843.33
0.01,0.201023,0.01,1611878400,0.058497,33399.99,34269.35,38641.1,713579.785,31960.0
