start_time,long_liquidation_usd,short_liquidation_usd,time
2022-03-28,4598448.88158,5129885.4619,1648425600000
2022-03-29,4315044.97124,3633238.63296,1648512000000
2022-03-30,3851829.19245,3386340.59771,1648598400000
2022-03-31,8462146.80636,2905401.97148,1648684800000
2022-04-01,5792487.0144,6825153.14314,1648771200000
2022-04-02,5330436.93036,3184115.73223,1648857600000
2022-04-03,2748367.68835,5061389.48098,1648944000000
2022-04-04,4586750.99384,4710838.26797,1649030400000
2022-04-05,4593417.65641,1784926.98384,1649116800000
2022-04-06,15051341.10884,3462603.30236,1649203200000
2022-04-07,3129682.82756,2970393.21437,1649289600000
2022-04-08,5564138.8663,4210940.07537,1649376000000
2022-04-09,1308404.93701,1482039.25892,1649462400000
2022-04-10,4171420.84151,1502738.82952,1649548800000
2022-04-11,11052549.34458,3279335.86552,1649635200000
2022-04-12,4770333.11415,4123915.73017,1649721600000
2022-04-13,3197698.49273,6397202.38836,1649808000000
2022-04-14,3264415.03504,1194505.93924,1649894400000
2022-04-15,1799440.26835,1763275.60159,1649980800000
2022-04-16,1032155.72318,1595266.51991,1650067200000
2022-04-17,4698482.10921,851526.65914,1650153600000
2022-04-18,5160594.80338,5321231.78257,1650240000000
2022-04-19,1206164.28549,4111976.11156,1650326400000
2022-04-20,2582675.34501,3363590.39909,1650412800000
2022-04-21,11609728.24323,3289684.778,1650499200000
2022-04-22,4482264.01139,2902881.0473,1650585600000
2022-04-23,1633647.9516,1076177.60853,1650672000000
2022-04-24,2791033.75313,1202242.20957,1650758400000
2022-04-25,5759479.07763,6611255.66285,1650844800000
2022-04-26,8233070.36581,3896494.01966,1650931200000
2022-04-27,3188264.54615,5164716.95185,1651017600000
2022-04-28,3937885.03555,5927116.47534,1651104000000
2022-04-29,9623641.32807,2166042.1171,1651190400000
2022-04-30,6633235.90648,1379059.60022,1651276800000
2022-05-01,3411600.98749,3968803.49646,1651363200000
2022-05-02,4501615.60512,2894001.78584,1651449600000
2022-05-03,2435248.61702,1043949.46176,1651536000000
2022-05-04,2120593.2856,6155767.72845,1651622400000
2022-05-05,8635694.72357,3341909.6401,1651708800000
2022-05-06,6346604.37851,5125898.76783,1651795200000
2022-05-07,2806648.87702,1536891.42258,1651881600000
2022-05-08,4581619.46863,3278548.84885,1651968000000
2022-05-09,19515190.3075,10055750.71703,1652054400000
2022-05-10,14204641.17646,15390202.88278,1652140800000
2022-05-11,28244792.93423,16111272.75591,1652227200000
2022-05-12,15556978.45655,26224899.19813,1652313600000
2022-05-13,9467153.49828,7883127.33264,1652400000000
2022-05-14,3399554.77397,4325091.82549,1652486400000
2022-05-15,3057733.25217,4896583.50414,1652572800000
2022-05-16,5584547.46238,4215554.41983,1652659200000
2022-05-17,4094898.97652,4327008.16663,1652745600000
2022-05-18,5852128.31263,2026551.86858,1652832000000
2022-05-19,3425677.4002,6398818.20375,1652918400000
2022-05-20,4955639.88879,4102645.44294,1653004800000
2022-05-21,1022038.70123,1564405.31355,1653091200000
2022-05-22,1330085.88041,2108995.02524,1653177600000
2022-05-23,5847976.69541,3915959.26002,1653264000000
2022-05-24,3033062.5151,2536660.36619,1653350400000
2022-05-25,3530412.04813,2653177.25914,1653436800000
2022-05-26,6518378.70606,4656243.11427,1653523200000
2022-05-27,6284555.37738,3383775.97116,1653609600000
2022-05-28,370402.38433,1059263.94403,1653696000000
2022-05-29,858406.36942,1466886.5437,1653782400000
2022-05-30,2693750.04169,5742231.57448,1653868800000
2022-05-31,2614816.32879,3046836.38675,1653955200000
2022-06-01,6691225.5434,3243823.28588,1654041600000
2022-06-02,3115426.53736,3212372.12044,1654128000000
2022-06-03,4226324.26232,1973053.20837,1654214400000
2022-06-04,1147427.17168,991648.16638,1654300800000
2022-06-05,1857369.15288,1417398.12632,1654387200000
2022-06-06,1940768.26398,4898049.61378,1654473600000
2022-06-07,8227493.72197,8170605.90487,1654560000000
2022-06-08,4959140.05839,3462471.8077,1654646400000
2022-06-09,2756716.69687,1996179.60663,1654732800000
2022-06-10,4358152.93329,2769828.74036,1654819200000
2022-06-11,7282173.02514,2813205.30199,1654905600000
2022-06-12,7285337.50749,3517472.95793,1654992000000
2022-06-13,22305824.51785,12389233.29511,1655078400000
2022-06-14,15756273.90036,14425203.33877,1655164800000
2022-06-15,14654150.52278,14494723.35474,1655251200000
2022-06-16,11103653.10359,6291231.47306,1655337600000
2022-06-17,6709146.40005,7201989.65011,1655424000000
2022-06-18,12883090.97853,7639145.7518,1655510400000
2022-06-19,8477863.75226,10215712.37033,1655596800000
2022-06-20,9565649.69451,8659868.67564,1655683200000
2022-06-21,5242885.60502,4846090.57382,1655769600000
2022-06-22,6694484.47,4051325.16964,1655856000000
2022-06-23,2887786.86816,4668054.23444,1655942400000
2022-06-24,4092102.00705,5003805.98583,1656028800000
2022-06-25,2534368.21345,3185740.44344,1656115200000
2022-06-26,2067464.72818,1938584.76128,1656201600000
2022-06-27,3385219.05681,1883256.63922,1656288000000
2022-06-28,4015978.63801,1860741.24833,1656374400000
2022-06-29,3055929.01102,2437415.29867,1656460800000
2022-06-30,3840174.33705,4546604.15971,1656547200000
2022-07-01,5689620.71527,3793893.63747,1656633600000
2022-07-02,1552313.85388,2832816.63869,1656720000000
2022-07-03,2820757.90472,1808257.82004,1656806400000
2022-07-04,2689468.3108,3107542.95596,1656892800000
2022-07-05,5386558.91158,5264672.31289,1656979200000
2022-07-06,6381135.76398,4468235.70744,1657065600000
2022-07-07,1951575.21938,6459382.89272,1657152000000
2022-07-08,6537958.34195,4207001.44218,1657238400000
2022-07-09,2413489.57792,1541295.47474,1657324800000
2022-07-10,2826502.66154,1535364.37199,1657411200000
2022-07-11,3925780.23687,3073131.21455,1657497600000
2022-07-12,5886322.45581,2412909.91795,1657584000000
2022-07-13,4207931.03044,7366347.55409,1657670400000
2022-07-14,4154040.33867,6705931.68915,1657756800000
2022-07-15,3505539.88165,4785437.37764,1657843200000
2022-07-16,4377932.26146,3509306.5884,1657929600000
2022-07-17,3074914.85328,2760859.91321,1658016000000
2022-07-18,8009777.25601,12117307.28761,1658102400000
2022-07-19,7529993.4322,9095390.23623,1658188800000
2022-07-20,9269257.98348,8231819.22606,1658275200000
2022-07-21,5452901.77304,5374044.14438,1658361600000
2022-07-22,4618463.63183,4067638.70001,1658448000000
2022-07-23,3484170.32456,1916364.03297,1658534400000
2022-07-24,3659434.60985,2876987.90045,1658620800000
2022-07-25,7536015.14463,2368502.27863,1658707200000
2022-07-26,4901806.60144,2918296.55077,1658793600000
2022-07-27,2369935.19562,6947459.43674,1658880000000
2022-07-28,5118407.85124,8517330.44192,1658966400000
2022-07-29,4673125.54851,5142400.94979,1659052800000
2022-07-30,2802732.4281,3412109.31075,1659139200000
2022-07-31,4042816.92588,2105372.63752,1659225600000
2022-08-01,4440461.10354,2804235.38686,1659312000000
2022-08-02,6578953.12485,3261203.20757,1659398400000
2022-08-03,4970313.88859,3679808.81052,1659484800000
2022-08-04,3508598.29857,2479361.70724,1659571200000
2022-08-05,2954428.53699,4087840.23168,1659657600000
2022-08-06,1272002.61344,499475.23136,1659744000000
2022-08-07,1086354.53386,2035621.26052,1659830400000
2022-08-08,3245753.56621,3852982.40972,1659916800000
2022-08-09,5367639.98117,2220299.93637,1660003200000
2022-08-10,4097980.60714,4652914.32797,1660089600000
2022-08-11,5633928.14092,5600187.59551,1660176000000
2022-08-12,2713862.74505,3064783.27613,1660262400000
2022-08-13,2849015.41619,3337011.52158,1660348800000
2022-08-14,3393195.80837,3773469.82229,1660435200000
2022-08-15,6647108.63377,6414776.86869,1660521600000
2022-08-16,4153947.90326,1789365.78888,1660608000000
2022-08-17,5034738.76762,3337289.41862,1660694400000
2022-08-18,3232597.74079,1390076.86852,1660780800000
2022-08-19,9872581.82065,3946701.5757,1660867200000
2022-08-20,2671635.08339,2654486.35295,1660953600000
2022-08-21,2186497.39216,3352872.84313,1661040000000
2022-08-22,3384861.55562,2777890.39789,1661126400000
2022-08-23,2103918.15698,3514647.40711,1661212800000
2022-08-24,3002525.88634,4284084.97543,1661299200000
2022-08-25,1879256.12962,1682304.29444,1661385600000
2022-08-26,7550656.82214,2725147.85604,1661472000000
2022-08-27,2275479.6009,2637271.01942,1661558400000
2022-08-28,3027045.5716,1480359.38444,1661644800000
2022-08-29,1470596.37231,3619176.42476,1661731200000
2022-08-30,6177119.54068,3280189.05652,1661817600000
2022-08-31,4107764.27635,3166920.51498,1661904000000
2022-09-01,2753461.23649,2748712.46042,1661990400000
2022-09-02,5262357.19984,2283624.77694,1662076800000
2022-09-03,868323.34153,462966.94299,1662163200000
2022-09-04,1243021.54462,1249702.75305,1662249600000
2022-09-05,2795483.43048,1592427.72062,1662336000000
2022-09-06,7685135.0877,3742322.05921,1662422400000
2022-09-07,3728182.76184,3951405.22355,1662508800000
2022-09-08,3342348.6685,3502869.24036,1662595200000
2022-09-09,3064490.64522,7606172.27753,1662681600000
2022-09-10,2751634.90312,4195959.05183,1662768000000
2022-09-11,2183374.13419,1994163.44612,1662854400000
2022-09-12,3426312.60744,5904369.30157,1662940800000
2022-09-13,12092771.65999,4242027.61542,1663027200000
2022-09-14,4421243.08854,3803863.16579,1663113600000
2022-09-15,5330593.23733,3089864.6085,1663200000000
2022-09-16,2127497.80918,2543793.62897,1663286400000
