start_time,block_bytes,datetime
2022-04-14 23:00:00,1466870.85714286,2022-04-14 23:00:00
2022-04-15 00:00:00,1061118.25,2022-04-15 00:00:00
2022-04-15 01:00:00,1427524.0,2022-04-15 01:00:00
2022-04-15 02:00:00,1262200.6,2022-04-15 02:00:00
2022-04-15 03:00:00,355443.93333333,2022-04-15 03:00:00
2022-04-15 04:00:00,1219402.33333333,2022-04-15 04:00:00
2022-04-15 05:00:00,1006871.16666667,2022-04-15 05:00:00
2022-04-15 06:00:00,877219.875,2022-04-15 06:00:00
2022-04-15 07:00:00,786857.25,2022-04-15 07:00:00
2022-04-15 08:00:00,944000.16666667,2022-04-15 08:00:00
2022-04-15 09:00:00,946925.66666667,2022-04-15 09:00:00
2022-04-15 10:00:00,1593707.5,2022-04-15 10:00:00
2022-04-15 11:00:00,1034492.42857143,2022-04-15 11:00:00
2022-04-15 12:00:00,1078883.42857143,2022-04-15 12:00:00
2022-04-15 13:00:00,996445.0,2022-04-15 13:00:00
2022-04-15 14:00:00,1440821.0,2022-04-15 14:00:00
2022-04-15 15:00:00,1456358.625,2022-04-15 15:00:00
2022-04-15 16:00:00,926928.33333333,2022-04-15 16:00:00
2022-04-15 17:00:00,825100.16666667,2022-04-15 17:00:00
2022-04-15 18:00:00,1099486.5,2022-04-15 18:00:00
2022-04-15 19:00:00,1028636.4,2022-04-15 19:00:00
2022-04-15 20:00:00,837231.77777778,2022-04-15 20:00:00
2022-04-15 21:00:00,1484555.0,2022-04-15 21:00:00
2022-04-15 22:00:00,1443575.66666667,2022-04-15 22:00:00
2022-04-15 23:00:00,803323.5,2022-04-15 23:00:00
2022-04-16 00:00:00,1429129.0,2022-04-16 00:00:00
2022-04-16 01:00:00,1129686.14285714,2022-04-16 01:00:00
2022-04-16 02:00:00,1095244.0,2022-04-16 02:00:00
2022-04-16 03:00:00,1002454.6,2022-04-16 03:00:00
