longAccount,longShortRatio,shortAccount,time,low,close,high,open,volume
56.67,1.31,43.33,1690502400.0,29112.8,29299.9,29535.7,29209.8,221299.867
56.89,1.32,43.11,1690588800.0,29237.5,29339.1,29397.9,29300.0,87100.719
56.83,1.32,43.17,1690675200.0,29006.0,29271.1,29442.5,29339.1,169901.253
56.87,1.32,43.13,1690761600.0,29100.0,29220.8,29525.8,29271.2,230381.722
57.05,1.33,42.95,1690848000.0,28550.0,29701.2,29735.0,29220.8,442328.643
55.94,1.27,44.06,1690934400.0,28906.3,29170.1,30059.9,29701.2,491725.492
58.57,1.41,41.43,1691020800.0,28955.4,29180.2,29440.0,29170.2,251967.942
56.38,1.29,43.62,1691107200.0,28780.0,29101.1,29323.8,29180.1,229395.673
56.57,1.3,43.43,1691193600.0,28960.0,29057.7,29145.0,29101.1,82508.624
56.27,1.29,43.73,1691280000.0,28978.5,29075.9,29199.0,29057.7,103094.44
56.88,1.32,43.12,1691366400.0,28682.3,29202.7,29274.5,29075.9,297752.439
56.25,1.29,43.75,1691452800.0,29132.4,29759.0,30250.0,29202.7,459269.801
56.49,1.3,43.51,1691539200.0,29362.0,29572.8,30149.7,29758.9,362009.701
58.63,1.42,41.37,1691625600.0,29303.7,29443.7,29729.8,29572.9,234546.038
57.12,1.33,42.88,1691712000.0,29220.0,29415.5,29565.1,29443.7,179044.008
57.25,1.34,42.75,1691798400.0,29360.0,29420.7,29470.0,29415.5,56238.035
57.2,1.34,42.8,1691884800.0,29256.6,29293.3,29463.0,29420.8,84190.505
57.5,1.35,42.5,1691971200.0,29070.0,29419.5,29686.7,29293.3,295035.383
57.86,1.37,42.14,1692057600.0,29050.0,29188.8,29492.1,29419.5,191289.959
57.55,1.36,42.45,1692144000.0,28705.1,28714.4,29257.4,29188.9,272023.138
57.41,1.35,42.59,1692230400.0,24581.0,26609.7,28775.9,28714.4,868508.22
50.14,1.01,49.86,1692316800.0,25600.0,26042.1,26818.0,26609.7,522375.316
52.62,1.11,47.38,1692403200.0,25783.4,26088.3,26269.4,26042.0,202219.153
56.29,1.29,43.71,1692489600.0,25948.5,26175.9,26285.0,26088.4,141089.85
55.48,1.25,44.52,1692576000.0,25800.0,26115.4,26280.0,26175.9,232505.265
54.36,1.19,45.64,1692662400.0,25280.0,26044.4,26128.2,26115.4,313113.576
54.84,1.21,45.16,1692748800.0,25800.0,26419.2,26806.0,26044.5,412969.028
54.63,1.2,45.37,1692835200.0,25835.0,26164.6,26568.3,26419.2,286753.337
54.83,1.21,45.17,1692921600.0,25754.4,26051.7,26300.0,26164.6,274830.494
55.71,1.26,44.29,1693008000.0,25969.0,26004.3,26129.4,26051.7,63925.862
55.26,1.24,44.74,1693094400.0,25955.6,26087.7,26173.6,26004.3,86505.398
54.17,1.18,45.83,1693180800.0,25850.4,26106.5,26244.6,26087.6,219992.051
54.74,1.21,45.26,1693267200.0,25905.2,27700.1,28168.0,26106.5,700233.946
54.07,1.18,45.93,1693353600.0,26950.0,27290.4,27758.2,27700.1,315313.916
54.07,1.18,45.93,1693440000.0,25617.8,25928.0,27674.3,27290.4,502906.277
55.51,1.25,44.49,1693526400.0,25312.0,25795.6,26151.6,25928.0,361184.924
55.87,1.27,44.13,1693612800.0,25740.6,25855.8,25975.0,25795.6,107642.864
55.32,1.24,44.68,1693699200.0,25777.0,25962.1,26135.2,25855.8,133016.832
54.72,1.21,45.28,1693785600.0,25610.0,25814.0,26099.3,25962.1,173147.873
54.65,1.21,45.35,1693872000.0,25531.2,25779.7,25900.0,25814.0,186639.945
54.21,1.18,45.79,1693958400.0,25326.0,25747.4,26052.0,25779.7,251122.66
54.21,1.18,45.79,1694044800.0,25602.3,26240.7,26451.0,25747.4,257349.902
54.4,1.19,45.6,1694131200.0,25630.0,25899.8,26437.5,26240.7,249269.761
53.61,1.16,46.39,1694217600.0,25781.5,25892.6,25940.6,25899.9,67909.81
53.38,1.15,46.62,1694304000.0,25508.7,25828.4,26037.3,25892.6,162972.413
53.51,1.15,46.49,1694390400.0,24888.0,25150.4,25895.0,25828.4,427216.374
