t,l,h,o,c,high,low,open,close,volume
1624924800,55049.15,60349.26,55049.15,56663.84,36623.0,34206.0,34486.58,35911.26,806140.329
1625011200,53869.91,58081.59,56508.15,54833.73,36089.96,34042.74,35910.64,35031.39,719742.983
1625097600,54697.09,58509.64,55110.49,56205.39,35044.98,32672.04,35031.39,33489.96,758966.493
1625184000,54875.11,59340.58,56267.34,57341.25,33960.0,32684.0,33489.96,33760.94,664923.202
1625270400,56639.31,62524.25,56910.7,59973.45,34948.16,33296.98,33760.94,34652.94,510614.258
1625356800,59077.78,62246.93,59271.21,59726.61,35955.55,34340.75,34653.32,35280.16,451001.556
1625443200,59270.69,64972.06,59781.68,59838.33,35281.55,33032.0,35280.17,33672.72,736706.409
1625529600,57334.74,60738.17,59392.4,57334.74,35120.0,33500.0,33672.72,34206.01,644229.007
1625616000,57032.19,59263.65,57434.8,57596.26,35089.56,33756.48,34206.0,33845.64,456218.909
1625702400,58030.74,64127.84,58030.74,62122.66,33910.0,32066.0,33845.63,32852.04,650317.664
1625788800,61488.6,66413.29,62315.02,62168.91,34100.0,32250.0,32855.0,33805.01,485662.879
1625875200,59822.32,63336.99,62092.76,61796.87,34248.58,33010.0,33805.01,33497.98,410271.979
1625961600,60821.65,65288.85,60821.65,63220.13,34629.62,33306.03,33497.98,34253.81,343905.35
1626048000,60170.44,65591.43,62793.99,60303.65,34662.73,32650.0,34253.88,33070.87,502747.758
1626134400,60271.27,65458.01,60663.37,62524,33336.0,32186.99,33070.86,32709.09,466567.713
1626220800,59893.31,64933.6,62753.83,59893.31,33176.47,31556.02,32708.66,32803.01,521140.41
1626307200,59261.13,66475.17,59347.89,65607.09,33170.0,31140.0,32803.0,31866.43,539111.667
1626393600,62355.82,68007.42,64980.39,62355.82,32245.0,31018.59,31865.53,31382.95,516577.743
1626480000,61166.51,67030.38,62410.35,65737.68,31945.0,31150.02,31382.96,31496.65,422650.418
1626566400,64059.57,69205.56,66119.74,64059.57,32435.93,31075.1,31496.65,31767.0,412189.401
1626652800,64052.12,72905.74,64468.45,71896.02,31890.0,30358.77,31765.23,30823.62,486305.627
1626739200,69113.19,72585.88,72080.15,70473,31050.0,29242.24,30823.62,29775.9,602688.19
1626825600,68265.28,75814.39,70265.14,68583.94,32883.9,29472.41,29775.89,32120.0,787077.39
1626912000,67069.5,70677.4,68681.81,67194.16,32583.48,31700.0,32120.0,32268.11,397258.936
1626998400,67690.5,71620.48,67690.5,68532.84,33650.0,31970.82,32268.12,33634.46,404650.016
1627084800,67732.43,70897.42,68639.83,68674.74,34471.0,33379.81,33631.74,34230.0,376046.028
1627171200,68516.48,72588.92,68516.48,72588.92,35400.0,33812.0,34230.0,35370.66,404114.844
1627257600,51649.04,72269.98,72269.98,53916.55,48168.6,35185.49,35370.67,37218.09,1162332.857
1627344000,52201.26,59126.11,53717.76,55030.72,39546.34,36384.31,37218.09,39442.33,675104.157
1627430400,55390.68,58735.33,55672.85,55756.32,40894.0,38753.0,39448.06,40003.08,736196.234
1627516800,55308.3,60008.65,55308.3,57928.93,40665.0,39203.83,40003.08,40012.9,463917.872
1627603200,52692.48,58836.88,56591.8,53640.05,42316.6,38320.0,40012.89,42203.25,561474.309
1627689600,53749.85,57053.54,53841.6,54604.76,42494.0,41030.19,42202.6,41448.11,381521.899
1627776000,52193.25,55980.48,54003.15,52193.25,42614.98,39350.4,41448.1,39846.78,487529.044
1627862400,49892.01,54296.06,49941.62,52594.19,40450.0,38658.0,39846.78,39147.48,451872.128
1627948800,53303.47,57262.17,53761.56,57262.17,39774.93,37600.0,39147.47,38203.26,517219.517
1628035200,55100.59,60641.54,57071.59,55100.59,39975.32,37500.0,38201.33,39731.31,479560.473
1628121600,53854.64,61203.23,55181.88,54511.29,41350.0,37291.0,39731.31,40882.4,746249.712
1628208000,54879.46,57398.99,54970.46,55035.17,43400.0,39849.82,40882.39,42825.43,653451.154
1628294400,52703.65,56247,55436.17,52703.65,44753.01,42395.2,42825.43,44601.11,583750.891
1628380800,53445.81,57075.81,54270.67,53851.25,45350.0,43265.0,44601.11,43787.71,553684.698
1628467200,52420.86,60380.07,52420.86,56622.02,46483.0,42785.0,43787.71,46259.7,626220.503
1628553600,54871.23,57495.95,56594.37,54973.66,46800.0,44670.05,46259.7,45589.99,460478.861
1628640000,53746.39,56490.96,54877.56,56373.78,46754.27,45354.0,45589.99,45522.12,390660.571
1628726400,56269.95,60130.46,56362.99,56555.15,46226.67,43800.0,45522.13,44385.09,468276.056
1628812800,53492.74,59192.32,56298.66,54929.93,47980.69,44208.88,44385.09,47792.52,438025.46
1628899200,55066.79,57902.54,55861.83,55066.79,48300.0,46000.0,47792.52,47083.74,374368.796
1628985600,54135.03,59318.83,55445.67,54135.03,47388.75,45480.0,47083.75,47006.02,370950.807
1629072000,51415.48,58381.83,53373.46,56605.67,48074.23,45682.03,47006.02,45926.23,412537.605
1629158400,54925.55,57595.27,56836.08,57017.01,47194.0,44412.01,45926.23,44704.84,474316.4
1629244800,55317.16,57653.39,57342.77,55317.16,46050.0,44227.32,44704.85,44714.09,395836.158
1629331200,54311.84,58828.32,55038.02,55413.04,47100.0,43938.38,44714.09,46772.0,439402.162
1629417600,54713.77,59001.99,55063.14,58080,49500.0,46650.0,46772.0,49332.74,401499.081
1629504000,57342.17,59510.25,58113.57,58260.52,49833.0,48250.0,49332.99,48848.29,347594.451
1629590400,57202.16,60749.26,58564.45,57202.16,49556.2,48075.81,48846.11,49273.28,294672.223
1629676800,57158.95,62688.01,57158.95,61083.75,50600.0,49075.01,49273.28,49523.91,355733.496
1629763200,60608.99,64077.79,60667.28,62322.04,49888.88,47600.0,49523.23,47719.36,398682.002
1629849600,59735.02,64357.24,63301.5,59735.02,49297.8,47130.57,47719.37,48992.65,389100.384
1629936000,59049.23,64899.22,59747.96,61114.12,49380.0,46280.0,48992.65,46853.06,475183.123
1630022400,58328.58,61734.26,60678.23,58556.89,49220.0,46359.97,46854.22,49083.98,403667.012
1630108800,58446.6,62565.36,58446.6,59744.6,49333.0,48395.65,49082.13,48931.99,222793.024
1630195200,57222.81,59846.64,59801.13,57554.96,49769.2,47741.31,48931.99,48795.41,315105.499
1630281600,57568.33,63299.28,57568.33,59376.2,48916.25,46876.49,48795.42,47024.7,351830.754
1630368000,57649.21,62420.22,59597.33,60964.19,48298.0,46731.03,47024.69,47150.32,365548.209
1630454400,60691.78,62436.86,60691.78,61688.59,49160.79,46550.99,47150.32,48842.94,350108.374
1630540800,59976.92,65740.08,60047.49,64106.67,50420.0,48631.2,48842.93,49299.14,361863.055
1630627200,60919.28,64027.64,64027.64,62144.7,51111.0,48333.0,49299.14,50027.08,430326.386
1630713600,57965.11,61473.89,61473.89,57965.11,50582.08,49360.0,50027.09,49940.74,274956.842
1630800000,55827.85,62071.8,57264.06,62071.8,51950.0,49462.59,49942.2,51799.57,288984.124
1630886400,61229.03,64655.68,62507.46,61567.73,52830.0,51040.0,51799.56,52683.97,297734.284
1630972800,42445.42,63056.49,61981.77,43656.74,52950.0,42088.0,52683.98,46864.39,764140.139
1631059200,43910.48,46898.38,43910.48,45713.95,47347.0,44431.0,46864.38,46062.29,435803.011
1631145600,44957.79,47553.57,45560.42,45196.11,47400.0,45500.0,46060.02,46413.88,309015.75
1631232000,45115.37,50321.21,45391.23,47695.14,47037.5,44120.0,46413.88,44860.83,343533.069
1631318400,46832.39,48943.8,47561.07,47374.32,45999.0,44737.4,44860.83,45193.78,194144.115
1631404800,47492.2,49159.39,47492.2,48717.79,46512.2,44746.51,45194.19,46046.73,223534.63
1631491200,46478.07,52322.18,48292.31,46646.84,46933.89,43323.93,46048.02,44975.96,448942.068
1631577600,45998.03,49925.12,46753.76,48953.78,47272.98,44692.9,44975.96,47087.18,277925.721
1631664000,49371.46,53307.01,49371.46,51230.56,48440.93,46675.0,47087.18,48106.12,244226.37
1631750400,49506.41,51864.2,51646.63,50087.46,48488.0,47038.21,48106.13,47745.55,260044.727
1631836800,50069.5,51584.05,50069.5,50720.1,48150.0,46750.0,47745.55,47303.11,226193.34
1631923200,50505.39,53966.48,50505.39,51723.34,48850.0,47044.32,47303.11,48285.15,207900.413
1632009600,51103.47,52960.92,51103.47,51444.39,48364.64,46840.0,48284.61,47256.91,212631.933
1632096000,48135.79,51967.19,51644.44,48135.79,47345.0,42467.86,47256.92,43026.6,600764.629
1632182400,45155.62,48797.35,48797.35,46332.75,43629.6,39503.58,43026.61,40726.1,683242.002
1632268800,43864.58,47776.86,46692.51,43881.42,43989.98,40551.49,40727.83,43520.0,400849.752
1632355200,44013.86,46376.83,44013.86,46225.54,44976.48,43056.0,43520.0,44828.29,330253.525
1632441600,45689.93,49449.21,46428.22,45934,45134.33,40650.0,44828.29,42798.49,608595.52
1632528000,43689.73,46202.49,45175.57,43831.76,42950.0,41630.26,42798.49,42651.58,277084.795
1632614400,43913.76,47662.48,43913.76,44281.3,43940.0,40725.01,42646.84,43150.0,354393.916
1632700800,44240.47,46446.66,44240.47,44323.63,44350.0,42059.13,43150.01,42122.69,285311.606
1632787200,43459.93,48472.34,43992.1,46820.58,42749.0,40854.0,42122.69,41006.32,359745.538
1632873600,45325,48168.44,45711.54,48168.44,42576.8,40708.73,41002.96,41499.71,293307.589
1632960000,45345.84,48641.27,48155.51,47568.36,44100.0,41387.78,41499.7,43796.57,389185.646
1633046400,47917.6,56421.05,47917.6,50558.68,48450.0,43260.01,43799.49,48123.94,449491.768
1633132800,48902.88,50847.98,50847.98,49631.67,48338.68,47410.0,48123.93,47626.61,182565.988
1633219200,47963.96,50703.09,49865.48,47963.96,49304.12,47071.26,47626.62,48187.3,212410.375
1633305600,46661.62,48510.22,48050.6,48121.2,49544.48,46885.29,48187.99,49198.22,324424.837
1633392000,47978.21,53605.35,48042.67,52457.38,51888.0,49009.21,49199.78,51455.12,314043.813
1633478400,49644.17,54975.41,52761.47,49644.17,56416.02,50410.0,51460.22,55321.6,418731.748
1633564800,49474.74,52677.55,50053.28,52133.13,55337.8,53374.34,55327.45,53814.99,262974.545
1633651200,50639.19,52916.54,52131.08,50839.8,56208.73,53647.3,53814.99,53975.0,255210.035
1633737600,50798.8,51470.68,50945.96,51282.87,55589.0,53656.66,53974.99,54960.77,167495.393
