start_time,date,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-09-13,2021-09-13,0.4919469,0.9682982,9837596806.19983,0.5080531,10159676858.31776
2021-09-14,2021-09-14,0.50931576,1.03797047,6495151784.20081,0.49068424,6257549668.50897
2021-09-15,2021-09-15,0.51255325,1.05150615,5939520694.66027,0.48744675,5648583868.92089
2021-09-16,2021-09-16,0.49812346,0.9925219,6135358444.70312,0.50187654,6181584963.63928
2021-09-17,2021-09-17,0.49416535,0.97693062,5260275473.35653,0.50583465,5384492369.44715
2021-09-18,2021-09-18,0.50182519,1.00732752,4997384654.55348,0.49817481,4961032568.77388
2021-09-19,2021-09-19,0.48453249,0.93998646,4866576336.44957,0.51546751,5177283434.4792
2021-09-20,2021-09-20,0.4837813,0.93716347,12788292013.51573,0.5162187,13645743156.64669
2021-09-21,2021-09-21,0.4932743,0.97345428,14059581682.81614,0.5067257,14442980969.24498
2021-09-22,2021-09-22,0.51239187,1.05082716,8698554478.47552,0.48760813,8277816602.2493
2021-09-23,2021-09-23,0.50577197,1.02335751,7324211700.0998,0.49422803,7157041052.08462
2021-09-24,2021-09-24,0.50413283,1.01666911,13008372908.42162,0.49586717,12795090172.95558
2021-09-25,2021-09-25,0.50174029,1.00698547,5841463205.25484,0.49825971,5800940914.71059
2021-09-26,2021-09-26,0.51523643,1.06286129,7680729899.82716,0.48476357,7226464999.04208
2021-09-27,2021-09-27,0.49474925,0.97921528,6069404961.16775,0.50525075,6198233530.56107
2021-09-28,2021-09-28,0.50037031,1.00148232,7472318756.20508,0.49962969,7461258750.3038
2021-09-29,2021-09-29,0.5039081,1.01575554,6108061867.45385,0.4960919,6013318773.06897
2021-09-30,2021-09-30,0.51332258,1.05474911,8569208564.81342,0.48667742,8124404678.34274
2021-10-01,2021-10-01,0.5278602,1.11801674,10894558580.98256,0.4721398,9744539735.64434
2021-10-02,2021-10-02,0.50155652,1.00624554,4357659656.74414,0.49844348,4330612642.48643
2021-10-03,2021-10-03,0.51034287,1.04224536,5160204406.01559,0.48965713,4951045692.33511
2021-10-04,2021-10-04,0.50467987,1.01889636,7831358130.25413,0.49532013,7686118502.03386
2021-10-05,2021-10-05,0.51907345,1.07931959,8132743346.36317,0.48092655,7535065053.46615
2021-10-06,2021-10-06,0.52028009,1.0845497,11488756006.47985,0.47971991,10593111647.02692
2021-10-07,2021-10-07,0.49442196,0.97793401,7031108467.67436,0.50557804,7189757602.33026
2021-10-08,2021-10-08,0.48669519,0.94816019,6706759940.70294,0.51330481,7073446006.62113
2021-10-09,2021-10-09,0.49339059,0.97390729,4481543393.20044,0.50660941,4601611919.8942
2021-10-10,2021-10-10,0.49116431,0.96527095,7778957816.44272,0.50883569,8058833434.31563
2021-10-11,2021-10-11,0.50333474,1.01342854,8916315167.07806,0.49666526,8798168638.4377
2021-10-12,2021-10-12,0.4843011,0.93911601,9490820210.99836,0.5156989,10106121202.02977
