start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-10 22:00:00,2021-01-10 22:00:00,330607.60315874,0.11629657
2021-01-10 23:00:00,2021-01-10 23:00:00,595094.68568573,0.06413918
2021-01-11 00:00:00,2021-01-11 00:00:00,595095.68568573,0.06255594
2021-01-11 01:00:00,2021-01-11 01:00:00,743870.60710716,0.05003406
2021-01-11 02:00:00,2021-01-11 02:00:00,330610.15871429,0.1099115
2021-01-11 03:00:00,2021-01-11 03:00:00,495916.23807144,0.07144577
2021-01-11 04:00:00,2021-01-11 04:00:00,425072.06120409,0.08356309
2021-01-11 05:00:00,2021-01-11 05:00:00,495918.40473811,0.07039065
2021-01-11 06:00:00,2021-01-11 06:00:00,595103.08568573,0.05524617
2021-01-11 07:00:00,2021-01-11 07:00:00,228886.80218682,0.15021165
2021-01-11 08:00:00,2021-01-11 08:00:00,743883.10710716,0.04766753
2021-01-11 09:00:00,2021-01-11 09:00:00,297554.24284286,0.12020776
2021-01-11 10:00:00,2021-01-11 10:00:00,371943.80355358,0.0950757
2021-01-11 11:00:00,2021-01-11 11:00:00,425079.63263266,0.08034898
2021-01-11 12:00:00,2021-01-11 12:00:00,743890.35710716,0.04601777
2021-01-11 13:00:00,2021-01-11 13:00:00,743891.35710716,0.04404319
2021-01-11 14:00:00,2021-01-11 14:00:00,743892.35710716,0.04470509
2021-01-11 15:00:00,2021-01-11 15:00:00,425082.34691838,0.07420976
2021-01-11 16:00:00,2021-01-11 16:00:00,1487789.21421432,0.02134726
2021-01-11 17:00:00,2021-01-11 17:00:00,743895.60710716,0.04411529
2021-01-11 18:00:00,2021-01-11 18:00:00,425084.20406123,0.07666191
2021-01-11 19:00:00,2021-01-11 19:00:00,495932.57140477,0.06502288
2021-01-11 20:00:00,2021-01-11 20:00:00,247967.28570239,0.13468054
2021-01-11 21:00:00,2021-01-11 21:00:00,991870.14280955,0.03428234
2021-01-11 22:00:00,2021-01-11 22:00:00,330624.38093652,0.10403211
2021-01-11 23:00:00,2021-01-11 23:00:00,371953.42855358,0.09526517
2021-01-12 00:00:00,2021-01-12 00:00:00,371954.42855358,0.09398807
2021-01-12 01:00:00,2021-01-12 01:00:00,495940.23807144,0.06914076
2021-01-12 02:00:00,2021-01-12 02:00:00,330627.82538096,0.10407451
2021-01-12 03:00:00,2021-01-12 03:00:00,371957.30355358,0.09416974
2021-01-12 04:00:00,2021-01-12 04:00:00,495944.07140477,0.07122807
2021-01-12 05:00:00,2021-01-12 05:00:00,743917.10710716,0.04833985
2021-01-12 06:00:00,2021-01-12 06:00:00,330630.82538096,0.10895986
2021-01-12 07:00:00,2021-01-12 07:00:00,425097.77548981,0.08572027
