longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
2.72,26.89,1654905600,73.11,28080.0,29427.9,29077.7,391367.814,28416.7
2.64,27.46,1654992000,72.54,26538.7,28530.3,28416.6,560834.131,26564.7
2.37,29.71,1655078400,70.29,21900.0,26877.0,26564.7,1622521.56,22471.5
1.71,36.86,1655164800,63.14,20823.0,23424.2,22471.4,1247609.796,22122.7
1.66,37.54,1655251200,62.46,20100.2,22800.0,22122.7,1509301.169,22567.5
1.68,37.38,1655337600,62.62,20222.0,23000.0,22567.5,882634.22,20387.4
2.4,29.39,1655424000,70.61,20228.0,21388.0,20387.4,776153.257,20457.3
2.74,26.71,1655510400,73.29,17593.2,20768.4,20457.3,1268591.388,18959.7
1.55,39.16,1655596800,60.84,17935.9,20821.0,18959.7,1089275.674,20564.2
1.23,44.85,1655683200,55.15,19630.0,21099.9,20564.3,935816.13,20570.1
1.05,48.87,1655769600,51.13,20337.8,21740.0,20570.0,787173.936,20713.1
1.07,48.24,1655856000,51.76,19745.7,20888.0,20713.1,812184.193,19977.4
1.26,44.33,1655942400,55.67,19874.0,21250.0,19977.5,698753.04,21096.6
0.99,50.39,1656028800,49.61,20732.5,21563.5,21096.6,645450.778,21231.2
0.96,51.07,1656115200,48.93,20894.0,21627.6,21231.2,434117.447,21481.9
0.89,53.03,1656201600,46.97,20952.0,21888.0,21481.9,442787.736,21029.1
1.1,47.61,1656288000,52.39,20500.0,21560.0,21029.1,539335.009,20730.0
1.23,44.83,1656374400,55.17,20188.0,21198.0,20730.0,582916.108,20268.6
1.59,38.69,1656460800,61.31,19817.2,20430.0,20268.7,608905.99,20109.9
1.66,37.56,1656547200,62.44,18563.0,20165.0,20109.9,859981.415,19923.5
1.69,37.16,1656633600,62.84,18948.8,20926.4,19923.3,915399.363,19272.0
1.61,38.31,1656720000,61.69,18959.0,19456.0,19272.0,382851.525,19240.9
1.66,37.6,1656806400,62.4,18780.1,19645.4,19241.0,449508.331,19305.9
1.64,37.85,1656892800,62.15,19046.3,20350.0,19306.0,633310.187,20226.6
1.13,46.87,1656979200,53.13,19291.6,20749.2,20226.3,854238.867,20170.0
