l,o,c,t,h,low,high,close,volume,open
6170498362,7396097604,6170498362,1606348800,7396097604,16181.0,18940.69,17155.34,850692.856,18741.66
5949523914,6192886421,6025923153,1606435200,6192886421,16444.83,17465.0,17144.1,398072.933,17155.37
6013095567,6013095567,6155907905,1606521600,6157190416,16865.78,17880.0,17717.74,268833.749,17144.11
6170451674,6197045701,6358858390,1606608000,6366590452,17523.0,18343.0,18181.09,256024.006,17717.74
6367681509,6367681509,7001804893,1606694400,7001804893,18178.82,19944.0,19720.0,500482.574,18180.43
6969079487,6973369373,7255927767,1606780800,7550932844,18050.0,19956.0,18772.7,553885.333,19722.09
6739785785,7205941824,6788472269,1606867200,7205941824,18329.58,19365.0,19207.01,335717.482,18770.33
6727203534,6750966517,7098172870,1606953600,7098172870,18865.0,19640.0,19434.3,245020.576,19207.01
6896900697,7163977512,6896900697,1607040000,7163977512,18570.0,19537.16,18664.2,276271.939,19432.66
6801798736,6891356531,6921576391,1607126400,6936713575,18510.0,19203.46,19147.62,165912.647,18662.72
6901629670,6935515069,6934385854,1607212800,6992674893,18855.35,19449.1,19375.02,176004.606,19147.63
6935678641,6954482590,7125775958,1607299200,7189542483,18908.66,19446.36,19172.88,169402.371,19375.0
7086123250,7112249844,7222167975,1607385600,7225221217,18133.33,19319.38,18319.32,280714.132,19172.87
6897113525,7189336074,6975476191,1607472000,7203667953,17650.0,18639.7,18537.98,353123.689,18319.33
6832098172,6926677821,6872597093,1607558400,6949683932,17916.0,18550.0,18253.51,233960.241,18537.97
6747499968,6889906682,6819505581,1607644800,6909363017,17555.0,18290.44,18031.47,317866.07,18254.0
6714133210,6833841804,6788175626,1607731200,6833841804,18012.21,18950.0,18800.0,196962.282,18031.71
6800915635,6800915635,7224271959,1607817600,7224271959,18705.46,19432.0,19175.07,239760.089,18800.0
7112445120,7171320510,7245333199,1607904000,7245333199,19004.72,19355.35,19270.7,181555.823,19175.06
7259985893,7265871257,7409114123,1607990400,7497288482,19039.64,19598.0,19424.91,248744.054,19270.71
7429964738,7463911056,7931301294,1608076800,7931301294,19274.55,21600.0,21346.8,459302.012,19424.9
7949913740,7949913740,8197999941,1608163200,8356790130,21231.5,23888.04,22816.99,823435.821,21346.81
8076238747,8301061152,8409129867,1608249600,8409129867,22363.94,23330.0,23124.35,305997.222,22816.99
8430037883,8436071012,8681299462,1608336000,8681299462,22735.81,24281.61,23847.28,337535.438,23124.35
8655154632,8838500971,8718827231,1608422400,8930444625,23076.25,24376.0,23472.96,322289.774,23847.28
