start_time,date,open_interest
2023-06-24,2023-06-24,4314230057.069301
2023-06-25,2023-06-25,4307427013.567101
2023-06-26,2023-06-26,4322334719.0188
2023-06-27,2023-06-27,4411954474.0058
2023-06-28,2023-06-28,4219436832.78
2023-06-29,2023-06-29,4427497177.2641
2023-06-30,2023-06-30,4038171683.6306
2023-07-01,2023-07-01,4150547799.5211
2023-07-02,2023-07-02,4137519708.02
2023-07-03,2023-07-03,4531483416.2362
2023-07-04,2023-07-04,4353740528.9502
2023-07-05,2023-07-05,4280782469.5408
2023-07-06,2023-07-06,3902455258.3988
2023-07-07,2023-07-07,3957528172.5492
2023-07-08,2023-07-08,3959345994.9096
2023-07-09,2023-07-09,3912535447.5167
2023-07-10,2023-07-10,4060526499.3078
2023-07-11,2023-07-11,4151465469.830701
2023-07-12,2023-07-12,4219027432.6666
2023-07-13,2023-07-13,4383837734.8827
2023-07-14,2023-07-14,3933641720.2444
2023-07-15,2023-07-15,3897676415.3518
2023-07-16,2023-07-16,3913340519.0327
2023-07-17,2023-07-17,4017423989.5046
